雄黄,"克,g,钱,两,分,None,钱5分,千克,钱半"
海浮石,"g,克,None"
龟版胶,g
榴皮,g
元蝙蝠,个
紫参,"钱,两"
苦参,"克,g,两,斤,None,钱"
锻龙骨,g
乳香末,钱
参三七米,g
白薢皮,g
炙黄艽,g
煨羌活,g
鲤鱼,斤
大风子,"两,枚"
白花蛇肉,两
麦芽,"克,g,斤半,两,None"
鱼腥草,"g,None"
忍冬藤,g
南山楂,两
谷精草,"克,g,None"
陈仓米,斤
炙令黄,None
生熟川军,钱
郁金子,钱
琥珀冲服,g
老丝瓜,None
先煎炒牛膝,g
蛴螬,"分,两"
炒阿胶,g
陈皮,"斤,千克,克,None,钱,两,g,两5钱,分,枚,钱半,钱2分,钱5分"
金钱草,"g,None"
麻油,"ml,克"
炒丹皮,克
竹虫蛀末,钱
黄荆子,两
皂角,"None,g,两,分,克,～3挺"
杜仲,"钱,g,None,克,两"
枳壳,"钱,克,None,g,斤,石,两半,钱半,分,两,个"
阿胶,"克,钱,两,None,g,千克"
炙牛角腮,g
味同煮,None
甘草节,分
寒水石,"分,g,两,钱"
挑去血筋,None
浙苓皮,钱
多年盖屋烂草或盖墙烂草,None
铜绿,"两,钱"
香油,g
清油,毫升
桃仁泥,克
欢皮,g
黑乌梅,g
水煮软揉取汁,克
龙骨生,两
夜明砂,克
生黄柏,"g,钱"
蜂蜡,两
白懂花,g
白砂糖,克
炒酸枣仁,g
茶叶,斤
犬骨节,None
赤苓,"克,None,两,钱,两半,分,g,钱5分"
炒荆芥,g
仓粳米,合
醋淬,None
芸苔子,分
硇砂,"g,分,钱半,两,钱"
大青叶,"g,钱,克,None,两"
炒槐角,两
耳草叶,None
又浸又炙,None
白龙骨,"克,两"
水浴过,分
龟申,None
清炙甘草,g
桂圆肉,"g,None,钱半,克"
铁苋菜,g
银箔,片
淫羊藿,g
土茯苓,"钱,g,两,None"
枯梗,None
五香汤再加丁香,钱
鲜绿豆,g
多年老石灰,斤
茱萸,两
淡天冬,钱
[方源]古方化裁,None
青皮,"克,None,g,两,钱半,分"
炙令焦黄,None
虎胫骨,"两,条"
黍米,合
胡桃,"个,g"
陈皮油,g
大附子,"个,分,钱"
王不留行,g
荠苨,克
辛夷花,"克,g"
云南白药,g
如法研细,None
金箔,"片,张"
蜂蜜,"毫升,g,克,斤,None,千克"
水蛭,"g,两"
炒槟榔,"g,钱"
黄腊,g
樟丹,"分,钱,两,g"
麻黄,"g,斤,None,分,两,克,钱,两半"
熟地黄炭,g
酒浸,None
焦艾叶,克
槐白皮,两
锡灰,None
甘草粉,"克,g"
以上除全蝎制,None
叶肾,g
熊胆,分
葫芦巴,None
玛瑙,"g,None"
荔枝桂,g
川厚朴,斤
薤白,"g,克,茎,两"
猪肾,具
芦根,"g,钱,None"
白矾,"钱,两,g,克,分,钱半"
炒桅子,g
牙茶,钱5分
瓜篓,g
小蓟,"g,None,克"
铫子内炒微焦,None
石斛,"斤,千克,克,两,分,g,钱"
细片,None
卷栢,两
芭叶,g
珍珠母,"克,g"
白芷,"两,两半,None,克,钱,g,钱5分,斤"
苋菜,克
茜,None
羊梅青,None
生地黄炭,g
炙微黄,None
柴珠草,g
灶心黄土,g
露,None
制半夏,"克,g,None"
乘热浸,None
合欢皮,g
贯众炭,g
生阿胶,斤
当归身,"两,克"
降真香末,None
毕澄茄,两
白附尖,个
厚黄柏,两
四叶对,g
急者用,克
夜交藤,g
三七末,"两,g"
秦艽末,克
萝卜,升
晚蚕沙,g
鲜藕,g
芡实肉,千克
黑锡,克
白面,斤
鸡,None
锡内散,支
炒至酱色为度,None
藕,None
芦荟,"None,分,钱,克,两"
白芥子,"None,两"
元胡,"克,两,g,None,分,钱"
再蒸,None
粉樟,g
砂仁,"None,枚,g,分,两5钱,钱,两,克"
胆矾,"钱,克,分"
党参,"克,两,g,None,钱"
人参浓汁,None
老川芎,克
紫葛,两
苁蓉,"克,两"
枇杷叶,"克,钱,g,两"
硫黄,"None,g,克,两,钱"
雷丸,"分,钱,两"
生三七,g
北大黄,两
山茱萸肉,g
血蝎,g
益智仁,"g,石,克"
木鳖子,"None,两,钱"
真麝香,克
丝瓜络,g
生荷叶,None
狼毒,"分,None"
棘刺,None
取自然汁,None
鬼前羽,g
代赭,两
入莨菪子填满,None
银花炭,g
生果末,g
桂枝,"克,g,两,None,石,分"
田七粉,g
小茴香,"None,两半,钱,两,g"
真胆矾,两
当长夏时采之,None
独活,"克,None,g,两,分,两半,钱"
制厚朴,g
羊角及蹄甲,g
小麦,"克,g"
黄芩,"斤,钱,克,None,两,g,钱半,分,千克,升"
鲜竹叶,钱
