枯矾,"g,双,钱"
不灰木,两
生耆,g
生地黄汁,"ml,合,升,盏"
烧烟熏盒子,None
盆消,钱
明松节,钱
沙苑子,"g,两,None"
前胡,"克,两,g,None,分,钱"
当归大黄,None
翻白草,g
余斤,None
制大黄,"克,g"
比茎藤,g
梅桂,钱
米醋淬,None
白粳米,升
多年陈石灰,None
西琥珀,钱
螺蛳壳,两
炒熟地,g
灯花,枚
白荆花,两
二月开花,None
段大枣,枚
鸡屎,分
竹沥,"毫升,合"
地龙干,g
茯苓,"两,克,g,分,斤8两,钱,None,合,钱5分,-5斤,两半,两2钱,钱半,两5钱"
出火毒后,None
炙蜂房,g
茜草,"g,克,钱,两"
没药末,克
王瓜,两
川草,g
川朴消,两
紫参,克
獐牙菜,g
木耳,g
牙消,"钱半,钱"
小片,None
伸筋藤,g
燕窝,两
鲜菖蒲,g
马蔺,两
大豆许,None
鼠尾草,分
肉巫蓉,g
毕澄茄,"两,分,g"
虎杖,"g,None"
日焙干,None
马鞭草,"g,斤"
角子糯肥皂,斤12两
湘黄,两
