雄黄,"g,分,克,钱,None,两,两半"
黄杨木,g
关木通,g
马齿苋,g
寒水石,"g,None,两,钱"
鸡矢藤,"g,份"
炙鸡,g
南芎,钱
松节,"钱,两,克"
虎头骨,两
了,None
冬麻子,斤
炒荆芥,克
煅瓦楞子,g
下锅煮谐芋,None
大川附子,克
广陈皮IO,g
身干,g
豆腐皮,两
河内蝌蚪成群,None
炒吴茱萸,g
蓍草,g
蒸熟,克
白果l,g
制谷芽,两
广木香,"-5g,g,钱,两"
当归尾,"克,g,钱4分"
山铁均,g
中盏,None
弹子大,None
五味子打碎,g
山芝麻,克
苍术,"克,钱,None,两2钱,g,两,分,斤,握"
芍,g
车前子,"克,g,None,分,两,钱4分,钱,斤"
红曲,"克,None"
葛根,"两,钱,克,g,分,None,合"
马蔺花,两
盔沉,两3钱
黑荆芥穗,g
重楼,"克,g"
赤苓,"克,g,分,钱,两,None,两半"
制金柑,枚
又云,克
芸苔子,g
微日晒略干,None
用箬叶叶油纸封定,None
川谏子,g
延胡索桃仁,两
九里明叶,斤
江子油,两
茱萸炮,None
黄芩,"两,克,-10g,g,None,钱,石,分,两半,钱4分,钱5分"
炒川连,钱
白苓,None
槟榔末,g
蝎稍,个
劳叶,g
焦三仙,"克,g"
茅花,钱
同杵,None
醋,"None,g"
甜瓜蒂,"个,分,两"
犀角屑,"分,克,两,两半"
紫石英,"g,两半,两,克"
新豉,合
锉片晒为末,None
炒白芥子,g
犀角,"钱,克,None,g,两"
麸炒微黄,None
月季花,g
猪瘦肉,g
赤勺,g
鸡子清,个
车前水浸,None
荷包草,g
用青盐,克
苦楝树根皮,两
白芹子,g
花椒子,粒
广茂,克
紫荆皮,"g,克"
别直参,g
蜣螂,"钱,两,None"
瓜蒌皮,"g,克"
皂荚水煮干,两
醋浸,"分,两"
川红花,"g,钱半"
射干,"g,克,两,钱1分"
茵芋,两
细症,g
韭叶捣汁浸数日,None
白蔹,"None,两,分,g"
掩盖瓶子,None
贯众,"克,g,两,分"
光明朱砂,两
准小麦,g
故纸,钱
太子参,"g,None"
不闻药气为度,None
真阿魏,克
透骨草,g
豆衣,g
猪蹄,只
煅石决明,g
藁本,"克,g,None,分,两,斤,两半"
棘刚子,枚
鹅不食草,"克,两"
椒,"两,分"
管仲,"钱,分"
炒于术,钱
路路草,g
斑蝥,"钱,两,枚,条,None,只"
酒柏,None
绵芪,g
甘草片,两
天布瓜根,None
百药煎三字,分
乌贼鱼骨,两
天香炉,g
萆麻叶,None
米碎茶叶,两
酒炒黄连,None
刮了血脉,克
锡,两
防己,"g,克,钱,两,None,分,两半"
诃子皮,两
黎辣根,g
鸡子,枚
拍碎,None
桃花,克
罗参,两
甘遂,"钱7分,克,钱,两,分,g"
阿芙蓉,钱
姜夏,"钱7分,g"
盐汤浸,两
酒,"None,升"
酒黄连,克
煮毕取出,None
细曲末,千克
山揸,g
麦冬肉,两
大连翘,g
制半夏,"g,钱"
楂曲,g
川茴香,钱
苏薄荷,钱
紫花地丁,"克,g"
枯矾,"g,None,两,克"
不灰木,两
生耆,两
生地黄汁,"升,None,合"
漂朱砂,g
味用生姜自然汁半盏,None
尖及双仁,克
苓块,钱
煨生姜,g
沙苑子,"g,克"
前胡,"两,g,钱半,None,克,分,钱,钱5分,kg"
洋金条,g
突厥白,分
