熟地,"None,两,克,g,钱,～15克,钱5分,分,-5钱,斤,～21克"
绿升麻,g
瓜壳,g
虻虫,"钱,分,枚"
小荆子,两
麻子,"升,两"
黄木白,g
味精,None
金银草,g
黑皮三叶青,g
甘草粉,克
羊奶,g
蜜炙白术,g
白芨末,g
盐,"斤,分,None"
忍冬草不以多少,None
并莨菪子末,None
雀爪,个
尾,克
红泽兰,钱
叶子雌黄,两
八味丸,None
花开残者去之,None
海羊,None
赤石脂,"None,克,g,两半,两,分,钱,两6铢"
蛇莓,"克,g"
淀脚,合
龙胆草,"克,两,kg,钱,g,None,分"
煅海蛤粉,g
当归钱半,None
云木香,g
煎掠去洗,两
羊耳菊根,g
独心大葱葱白,g
山萸肉,"克,g,颗,钱,两,升,分,None,铢,两半,斤,钱5分"
碧玉散,g
活鲫鱼,个
橘皮白,None
槐英,两
活虾蟆,个
以楮树汁,毫升
绿豆衣,"克,g,钱"
红药子,g
苦冬瓜,g
其滓再熬成膏,None
灶屋,None
番泻叶,g
厚川柏,克
熬水过滤,None
鲜侧柏叶,"g,None"
佩兰,g
苍耳花,None
人参十,两
仙鹤草,"两,克,None,g,升"
玄明粉,"克,None,两,钱,g,分"
去人参,None
紫草,"g,分,None,两,克,钱,升"
秫米,克
粉炉甘石,两
大枫子肉,克
滚,None
淡附,g
洪连,g
辣椒,None
黄莲,g
南薄荷叶,克
人参,"两,None,钱,分,克,g,两5钱,两半,钱5分,两1分,石,～10克,钱半,铢"
川藿香,g
煮枣烂,None
蓖麻油,g
三核,g
稀莶草,"克,g"
生神曲,两2钱
酒知母,克
黄精草,分
铺在甑底,None
人中黄,"None,克,钱,g"
荗,两
炒黄连,g
赤何首乌,两
海枫,两5钱
防已,两
龙葵,"克,g"
生玳瑁,"-5钱,分,g"
百里香酚,g
肥乌梅,None
焦山查,g
香菇,g
活水芦根,钱
七叶枝花,g
矮地茶,"克,g"
生草乌,"g,克"
排风汤,None
海蛤粉,"g,None"
