雄黄,"克,分,钱,g,两,None,斤,钱5分,份,钱半"
身干,g
荷叶边,None
龙柏花,分
用生姜,"斤,两"
用黄精汁浸,寸
蒸熟,"克,None"
野麻草,g
鲜青松毛,g
用柳篦子不住手搅,克
明净松香,克
五味子打碎,g
以真酥,两
车前子,"None,钱,两,克,g,石,分,两1分,两半,斤"
葛根,"两半,两,None,克,斤,g,分,钱5分,石,钱,寸,钱半"
六蛐,g
猪牙皂荚,"g,两"
大蒜,"份,None"
黄雌鸡,None
以微火慢炒,克
诃勒黎皮,分
忘忧根,两
以细篾串眼,None
好腊茶,None
黄米粉,两
青果炭,钱
单硬脂酸甘油酯,g
菔子,g
恒山,"两,None,分"
煎掠去沫,两
珍珠末,"g,钱"
槟榔末,"g,钱,两"
五如皮,两
蒸两遍,None
净麻黄,g
炒刺猬皮,g
春秋,分
茅花,"None,钱"
半夏曲末,钱
禹余粮,"None,两,克,两半,分"
犀角屑,"两,分"
生枳壳,"钱,g,克,～5克"
炒白芥子,"克,g"
晒于,None
紫诃车,g
制覆花,钱
香攫,克
每日早晨换水足,None
醋白芍,g
嫩桂木,g
鲜银花,克
故名,None
枣肉,"克,两"
椿白皮,两
知母,"两,g,钱,克,None,分,铢,两半,钱半,两5钱"
凤尾草粉,g
蜣螂,"克,分,枚,g"
生杏仁,两
水红花子,"g,None"
烧盐,两
皂荚水煮干,两
光桃仁,粒
粟米,两
藤黄,g
松萝,两
川红花,g
捣筛为末,None
山茵陈,"None,两"
真川朴,克
夏果,None
茵灵芝,g
准小麦,g
莨菪子半合,None
再熁再淬,None
太子参,"克,g,None"
降香屑,g
桑白,"None,g"
牛黄末,钱匕
千金藤,None
大艾,两半
白者佳,None
煅石决明,g
头二蚕沙,两
棘刚子,枚
琥珀末后下,g
不出油,None
鸡蛋,"个,枚,只"
以竹筋就窠子摘,None
别用酒,升
斑蝥,"钱,枚,个,分,克,g"
炙微黄,None
大力王,g
酒柏,钱
菖薄,g
芙蓉叶,"克,None,两"
乌扇,"克,分"
干虾蟆,"个,克,两"
乌贼鱼骨,"两,钱,分"
西朱,两
川芎羌括,克
鳖头,None
同甘草,两
塞满,None
三七末,g
川归身,两
煨广木香,g
隔水炖化,None
川百部,g
白芨片,g
豮猪胆,个
金顶砒生,钱
半夏僸,两
头,两
甘遂,"钱7分,两,克,g,分,钱,None,钱5分"
酒汉肪己,克
春砂仁,"两5钱,g"
将药放在叶上,None
怀熟地,"None,钱"
红枣量用,None
露蜂蜜,g
四君子汤加蜜炙黄耆,None
制肉果,个
炒灵脂,两
薄荷l,g
制半夏,"两,None,克,g"
茯苓二十,两
血腥草,g
川茴香,"两,克"
全华草,g
兔耳风,g
一肉蔻,克
茶叶末,None
炒黑干姜中,None
鸡舌,分
紫花地丁,"克,g,None,钱"
新橙皮,克
生耆,"钱,两"
味为细末,None
明参,"g,None"
天门冬去心,两
盆消,两
姜连,"分,钱半"
诃藜勒,"克,分"
陈皮粉,g
再煅再淬,None
制大黄,"克,g,None"
栝楼实,"枚,克"
苦芩,g
