雄黄,"g,钱,两,分,克,钱5分"
蛇蜕,"条,两"
川椒炭,钱
蜣螂,"分,克,枚"
瓜蒌皮,g
水红花子,"g,克"
玫瑰花,g
粟米,两
藤黄,"克,g"
松萝,克
棕皮,两
蝼蛄,"g,两"
三年酱汁,合
枯矾末?克,None
生乳没,g
白蔹,"g,None,两,钱,分"
海螺角,g
贯众,"克,g,两"
紫苏,"g,None,两,钱,克"
徐长卿,"克,g"
浙贝,"克,None,g,份"
漉出蒸,None
萤火虫,枚
干蝎,"两,-2两,分"
猪苓,"g,克,None,两,钱半,钱,分"
透骨草,g
青娘子,只
炒黄柏,g
