雄黄,"钱,克,字,分"
鸽子蛋,个
候面焦黄,None
生干地黄,两
仙茅,"两,克,g"
附子,"两,两半,克,分,g,钱,枚,None,铢,两3钱半"
苍术,"两,钱,None,g,分,克"
白合,g
车前子,"斤,两,g,两5钱,克,None,钱,钱5分"
童便炒,两
葛根,"g,None,钱,两"
益母草,"两,g"
坎气,条
杏仁,"钱,None,两,克,分,g,枚,石"
重楼,g
大蒜,两
沙菀蒺藜,两
刮去浮甲心膜,None
墨旱莲膏,克
木蝴蝶,"钱,g"
以纸封瓶口,None
莲房,枚
蛮姜,两
14,None
松香,"两,None"
黄芩,"两,分,g,克,钱,None"
三棱,"None,两,克"
熟军,斤8两
雌黄,分
艾絮,分
秦艽,"两,None,克,钱,分,g,两半"
小胡麻,"g,两"
长段,None
去豆,None
炙龟板,g
生松花蕾,个
去筋膜,两
舶上茴香,"两,两半"
露蜂房,钱半
紫石英,克
曝干,None
微破皮,None
川羌,"钱,两,克,g,分,钱半"
犀角,None
紫诃车,g
粉沙参,g
金箔,片
龟版胶,"两,g"
降香,None
长者,None
地鳖虫,g
用青盐,克
黄苓,两
枣肉,"两,克,钱"
防风,"两,钱,分,g,None,克,钱半,两半"
天麻子,克
知母,"两,两2钱,None,克,g,分,钱"
赭实子,g
用新汲淡水注坛中平肩,None
酸石榴皮,两
粟米,合
醋浸,钱
射干,"分,None"
天门冬去心,两
鹿茄茸,两
白蔹,"g,分,两"
贯众,"分,g"
沙糖,"两,None"
宿即出,None
太子参,g
干蝎,钱
猪苓,"g,分"
雄雀儿,只
玄武胶,两
浸之,None
大连,None
黄连,"两,g,None,克,钱,两半"
生三七粉,g
藿香叶,两
麸炒,分
五倍子,g
芡实米,None
蔗糖,None
茯神,"钱,分,两半,两,克,钱半"
甘枸杞子,"两,None"
潞参,两
下无灰酒,None
入净好金华坛内,None
白豆蔻,"钱,两,克,g"
取明亮者,None
荞麦楷灰,两
米泔浸,None
鳖头,g
块广皮,两
山栀子仁,两
土元,"g,两"
人中白,钱
巴豆,"粒,两,枚,克,个,None"
新石炭,钱
