雄黄,"钱,钱7分,g,钱5分,分,两,克"
生附子,"克,None"
棕榈,"g,None"
水牛角,克
井泉石,两
南青皮,两
姜汁,g
轻扮,克
线,None
生锦黄,g
白药子,两
黄芪,"钱,克,None,g,两半,钱半,分,两"
艾叶,"钱,None,分"
黄明胶,两
广藿香,"g,None"
南沙参,g
取皮,None
地鳖虫,g
全蝎,"两,g,枚,钱,个,条,石,克"
柏子仁,"g,分,钱,克,两"
葱白,"克,茎,根,枚,None,g,寸,握,升"
薄荷,"None,两,克,钱,g,钱半,钱4分,两6钱"
诃子,"g,分,两,个,钱"
防风通圣散,克
藁本,"克,g,两,分"
人粪霜,None
白褐,钱
伸筋草,g
绵黄,两
瓜蒌仁,"g,克,钱"
肉桂,"分,～9克,克,两,～6克,g,斤,None,两1分,两半,钱,铢,钱半"
两头齐跳者用之,钱
巴戟天,"g,None,两,两半"
地龙,"g,两,None,钱,条"
莽草,"两半,两,分"
甘菊花,"两,None,分,两半"
苏木,"钱,至5钱,None,两半"
甜瓜子仁,分
五谷虫,两
蔓荆子,"克,g,None,分,两,斤"
百劳水,毫升
川乌,"钱,两,g"
炒苍术,克
阿魏,"分,钱,两"
桔梗,"None,g,两,克,钱,钱4分,千克"
紫贝齿,"枚,个"
败酱草,"g,克"
杜蘅,None
马齿苋,"g,两"
大力,g
山楂,"g,两,None,克"
白胶香,"钱,两"
山竹树皮干品,g
O丹参,g
菟丝子,"两,g,钱,两1分,两半,两2钱,钱5分,克,None"
虎头骨,分
竹沥,合
炒荆芥,钱
苎根,两
干柳枝,g
槐角子,克
五倍子,"g,None"
淡香鼓,克
生白芍,g
三七,g
桔梗?,g
羊蹄根,g
川黄柏,g
木鳖仁,两
生硫黄,None
北柴胡,g
炙化橘红,g
新罗人参,寸
白盐,两
%前胡,g
当归尾,"克,钱,None"
熟艾,两
鲮鲤甲,两
商陆根,两
生干地黄,"两,两1分,None,两半,钱"
附子,"两,克,None,g,个,两半,分,钱,钱半"
苍术,"钱5分,钱,两,克,None,g,钱半"
车前子,"两,g,钱,分,None,克"
冬白术,～15克
葛根,"克,None,两,千克,钱,分,g,两半,升,斤"
益母草,"g,None,两,斤,钱"
荜拔,g
杏仁,"g,克,两,枚,None,两5钱,个,～9克,-7枚,斤,粒,钱,分"
重楼,"g,石"
炙黄芪,g
漂于术,两
怀牛膝,"钱半,g"
净连翘,克
苦参片,g
生善,g
生代赭石,g
赤小豆,"两,克,g,升"
松香,"分,两,钱"
黄芩,"g,两,克,None,千克,分,钱半,钱,合,两5钱,钱5分"
三棱,"g,两,钱,克,分,两半,None"
川楝肉,钱
珍珠末,两
南硼砂,克
秦艽,"钱5分,克,g,两,钱,None"
生梓白皮,克
附片,g
白前根,g
焦三仙,g
威蕤,两
火煅通赤,"两,None"
甜瓜蒂,分
川椒红,两
紫石英,"两,克"
川羌,"钱5分,None,两,克,分,钱,g,钱半,斤"
犀角,"None,克,g,钱,两,分"
麸炒微黄,None
鲜芦根,克
赤勺,g
葱汁半钟,None
粟米,合
酸桃叶,g
杏,None
飞罗面,克
蛇蜕,两
真西黄,g
瓜蒌皮,钱
玫瑰花,g
去丝,克
大紫色车螯,个
并作小块,克
丹砂末,分
射干,"g,两,None,分"
干胭脂,"克,分"
乳香,"g,钱,None,分,两,克,两半"
白蔹,两
枯矾末,两
焙诃子肉,g
贯众,"钱,g,克,两,None"
紫苏,"钱,两,克,None,g"
浙贝,"g,克,None,钱"
干蝎,"个,分,两,None"
猪苓,"分,None,克,钱半,g,钱5分,钱,斤"
腊猪油,两7钱
赤蜈蚣,条
黄连,"钱,g,None,克,两,分,两半,斤,铢"
细木通,克
熟,None
藿香叶,"两,克,None"
鹅不食草,g
椒,粒
冬葵子,"两,克"
斑蝥,钱
茯神,"两,克,两半,钱,g,分"
山栀仁,None
四川绿茶,g
同杵令烂,None
露蜂房,"两,枚"
乌扇,两
白豆蔻,"钱5分,两,克,g,分"
可用麝香,克
高良姜,"两,分,两半"
鱼腥草,g
小生地,None
鲜石斛,克
黄精,g
巴豆,"钱,粒,None,克,枚,两"
鸡内藤,g
